entity_class,canonical_text,total_count,entity_label,page_context,urls,aliases,entity_id
CHARACTER,E. Shapkin,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,E. Shapkin,CHARACTER:e_shapkin-38c8cc
CHARACTER,"Elizabeth ""Beth"" Harmon",1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/The_Queen%27s_Gambit,"Elizabeth ""Beth"" Harmon",CHARACTER:elizabeth_beth_harmon-6348a8
CHARACTER,"Elizabeth ""Beth"" Olivia Harmon",1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,"Elizabeth ""Beth"" Olivia Harmon",CHARACTER:elizabeth_beth_olivia_harmon-112081
CHARACTER,Ellen Page,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/The_Queen%27s_Gambit_(novel),Ellen Page,CHARACTER:ellen_page-5c3655
CHARACTER,Fork,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Fork,CHARACTER:fork-2baac6
CHARACTER,Friedman,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Friedman,CHARACTER:friedman-e2439e
CHARACTER,Georgi,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Georgi,CHARACTER:georgi-58c4ac
CHARACTER,Georgi Girev,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Georgi Girev,CHARACTER:georgi_girev-265890
CHARACTER,Girev,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Girev,CHARACTER:girev-2c3631
CHARACTER,Goldman,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Goldman,CHARACTER:goldman-f80ea5
CHARACTER,Grandmaster,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Grandmaster,CHARACTER:grandmaster-9b4991
CHARACTER,Harmon E,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Harmon E.,CHARACTER:harmon_e-c0b572
CHARACTER,Harry Melling,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/The_Queen%27s_Gambit,Harry Melling,CHARACTER:harry_melling-447ac5
CHARACTER,Heath Ledger,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/The_Queen%27s_Gambit_(novel),Heath Ledger,CHARACTER:heath_ledger-2d60e6
CHARACTER,Helen Deardorff,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Openings,Helen Deardorff's,CHARACTER:helen_deardorff-75f038
CHARACTER,Hou Yifan,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Hou Yifan,CHARACTER:hou_yifan-9e15c9
CHARACTER,Isla Johnston,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Isla Johnston,CHARACTER:isla_johnston-743cc7
CHARACTER,Jacob Fortune-Lloyd,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/D.L._Townes,Jacob Fortune-Lloyd,CHARACTER:jacob_fortune_lloyd-927fd6
CHARACTER,Jenny Baynes,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Cleo,Jenny Baynes,CHARACTER:jenny_baynes-440e83
CHARACTER,Jesus,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Adjournment,Jesus,CHARACTER:jesus-84f268
CHARACTER,Jolene Dewitt,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Openings,Jolene Dewitt,CHARACTER:jolene_dewitt-19064f
CHARACTER,June,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Alma_Wheatley,June,CHARACTER:june-386f6d
CHARACTER,Lanni,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Lanni,CHARACTER:lanni-9d3b4b
CHARACTER,Ledger,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/The_Queen%27s_Gambit_(novel),Ledger,CHARACTER:ledger-9fbea7
CHARACTER,Levenfish,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Levenfish,CHARACTER:levenfish-a725df
CHARACTER,Malovicz,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Malovicz,CHARACTER:malovicz-1f2d7a
CHARACTER,Manfredi,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Manfredi,CHARACTER:manfredi-47d3c2
CHARACTER,Margaret Johnson,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Fork,Margaret Johnson,CHARACTER:margaret_johnson-c8d437
CHARACTER,Marielle Heller,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/The_Queen%27s_Gambit,Marielle Heller,CHARACTER:marielle_heller-412774
CHARACTER,McDonnell,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,McDonnell,CHARACTER:mcdonnell-434a93
CHARACTER,Millie Brady,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Cleo,Millie Brady,CHARACTER:millie_brady-b77851
CHARACTER,Moses Ingram,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/The_Queen%27s_Gambit,Moses Ingram,CHARACTER:moses_ingram-e346b0
CHARACTER,Nona Gaprindashvili,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/End_Game,Nona Gaprindashvili,CHARACTER:nona_gaprindashvili-3b3a7b
CHARACTER,Octavio Marenco,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Octavio Marenco,CHARACTER:octavio_marenco-864771
CHARACTER,P. Darga,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,P. Darga,CHARACTER:p_darga-1e1950
CHARACTER,P. W. Sergeant,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,P. W. Sergeant,CHARACTER:p_w_sergeant-33561b
CHARACTER,Patrick,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Harmon_vs._Borgov_(1968),Patrick,CHARACTER:patrick-489207
CHARACTER,R. Uljanov,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,R. Uljanov,CHARACTER:r_uljanov-327ac1
CHARACTER,Roger,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/D.L._Townes,Roger,CHARACTER:roger-64c8fd
CHARACTER,Rosa Bonheur,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Alma_Wheatley,Rosa Bonheur,CHARACTER:rosa_bonheur-385110
CHARACTER,Rossolimo,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Rossolimo,CHARACTER:rossolimo-c00a3a
CHARACTER,S. Malovicz,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,S. Malovicz,CHARACTER:s_malovicz-0b17f3
CHARACTER,Samantha,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Samantha,CHARACTER:samantha-f81e43
CHARACTER,Scott Frank,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/The_Queen%27s_Gambit,Scott Frank,CHARACTER:scott_frank-4275c0
